product_id,product_title,category,day,units,revenue
409,Product 409,toys,2024-11-20,1.0,100.5
319,Product 319,electronics,2024-11-04,1.0,65.13
304,Product 304,home,2024-08-30,3.0,175.59
62,Product 62,home,2024-01-07,5.0,286.3
383,Product 383,beauty,2024-06-03,3.0,352.38
52,Product 52,sports,2024-12-16,3.0,338.46
238,Product 238,electronics,2024-02-02,4.0,773.68
65,Product 65,sports,2024-09-23,3.0,270.63
118,Product 118,home,2024-01-13,1.0,66.21
316,Product 316,beauty,2024-09-25,3.0,324.36
23,Product 23,electronics,2024-04-19,2.0,465.8
205,Product 205,toys,2024-06-22,2.0,210.32
153,Product 153,beauty,2024-08-20,4.0,411.8
267,Product 267,sports,2024-10-14,2.0,192.8
333,Product 333,electronics,2024-01-14,2.0,191.34
91,Product 91,sports,2024-06-08,2.0,114.02
437,Product 437,sports,2024-07-18,1.0,72.96
72,Product 72,toys,2024-01-14,2.0,103.18
198,Product 198,electronics,2024-07-19,1.0,80.22
42,Product 42,beauty,2024-12-07,2.0,95.42
289,Product 289,beauty,2024-07-25,3.0,466.20000000000005
259,Product 259,electronics,2024-01-17,3.0,290.76
24,Product 24,sports,2024-11-13,2.0,366.9
113,Product 113,home,2024-08-03,3.0,148.89000000000001
85,Product 85,sports,2024-02-28,2.0,157.02
304,Product 304,home,2024-09-18,3.0,175.59
388,Product 388,toys,2024-07-18,3.0,504.54
305,Product 305,sports,2024-06-19,1.0,48.23
304,Product 304,home,2024-04-13,4.0,234.12
55,Product 55,sports,2024-11-29,1.0,142.4
467,Product 467,toys,2024-10-31,2.0,183.44
385,Product 385,electronics,2024-02-10,2.0,126.9
254,Product 254,beauty,2024-11-19,2.0,160.8
495,Product 495,electronics,2024-05-30,3.0,383.76
375,Product 375,electronics,2024-02-04,2.0,222.1
409,Product 409,toys,2024-08-09,2.0,201.0
194,Product 194,electronics,2024-05-10,1.0,54.87
15,Product 15,electronics,2024-11-08,3.0,274.17
399,Product 399,toys,2024-12-18,2.0,79.96
62,Product 62,home,2024-02-14,2.0,114.52
133,Product 133,home,2024-09-03,3.0,214.86
226,Product 226,toys,2024-02-28,3.0,225.0
136,Product 136,toys,2024-02-19,2.0,204.72
21,Product 21,electronics,2024-02-18,4.0,382.64
433,Product 433,toys,2024-01-18,4.0,501.76
325,Product 325,sports,2024-06-26,5.0,360.4
258,Product 258,sports,2024-11-13,2.0,120.38
52,Product 52,sports,2024-07-29,3.0,338.46
179,Product 179,sports,2024-11-16,2.0,73.78
356,Product 356,sports,2024-11-05,3.0,157.53
104,Product 104,electronics,2024-11-12,1.0,109.7
192,Product 192,electronics,2024-11-24,3.0,206.21999999999997
123,Product 123,sports,2024-06-14,2.0,201.12
355,Product 355,toys,2024-10-26,2.0,128.86
171,Product 171,beauty,2024-11-24,3.0,111.14999999999999
51,Product 51,sports,2024-08-31,4.0,304.24
253,Product 253,toys,2024-05-15,3.0,359.49
15,Product 15,electronics,2024-09-10,2.0,182.78
158,Product 158,sports,2024-08-14,2.0,158.46
155,Product 155,beauty,2024-08-03,2.0,223.36
60,Product 60,sports,2024-03-06,1.0,33.95
292,Product 292,home,2024-09-21,3.0,457.59000000000003
422,Product 422,beauty,2024-11-23,3.0,362.90999999999997
162,Product 162,home,2024-12-20,2.0,135.88
23,Product 23,electronics,2024-11-17,1.0,232.9
223,Product 223,home,2024-12-16,3.0,182.85000000000002
326,Product 326,home,2024-08-25,2.0,227.12
202,Product 202,sports,2024-06-18,2.0,113.1
206,Product 206,electronics,2024-09-27,3.0,169.07999999999998
168,Product 168,beauty,2024-11-05,1.0,75.52
150,Product 150,home,2024-03-31,2.0,276.4
215,Product 215,home,2024-02-12,1.0,101.85
57,Product 57,toys,2024-12-22,3.0,370.02
118,Product 118,home,2024-04-18,1.0,66.21
104,Product 104,electronics,2024-10-20,3.0,329.1
16,Product 16,sports,2024-08-18,2.0,71.74
407,Product 407,electronics,2024-04-28,3.0,326.82
495,Product 495,electronics,2024-03-12,1.0,127.92
31,Product 31,sports,2024-10-01,1.0,56.01
130,Product 130,toys,2024-05-26,3.0,82.62
406,Product 406,home,2024-06-21,3.0,208.56
425,Product 425,home,2024-09-19,6.0,986.28
203,Product 203,home,2024-06-13,2.0,25.98
404,Product 404,electronics,2024-09-09,1.0,79.91
148,Product 148,toys,2024-07-08,1.0,73.87
259,Product 259,electronics,2024-02-29,1.0,96.92
217,Product 217,electronics,2024-12-29,2.0,279.72
244,Product 244,sports,2024-01-08,3.0,267.03000000000003
105,Product 105,toys,2024-12-22,3.0,117.81
305,Product 305,sports,2024-10-07,2.0,96.46
115,Product 115,home,2024-12-05,2.0,316.48
75,Product 75,home,2024-11-19,2.0,395.3
79,Product 79,toys,2024-08-03,2.0,115.28
264,Product 264,beauty,2024-07-17,2.0,127.4
93,Product 93,toys,2024-11-17,3.0,400.71
54,Product 54,home,2024-01-04,2.0,64.36
243,Product 243,toys,2024-05-14,2.0,312.52
177,Product 177,home,2024-01-14,3.0,219.0
171,Product 171,beauty,2024-07-26,3.0,111.14999999999999
